function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,10,98263.39023068761,64484.966033300436,-7356.264906770231,0.5,0.5,0.76953125,0.6562460941141212,0.86572265625
ellipsoid_cond1e6,10,0.0,phasewall_plus_lr_tuned,10,98263.39023068761,39441.20175072493,-51177.12509973046,0.8,0.2,0.01953125,0.4013824645997962,0.08272058823529412
ellipsoid_cond1e6,10,0.0,phasewall_tuned,10,98263.39023068761,130988.80738256214,43192.214357879995,0.2,0.8,0.10546875,1.3330377374019646,0.2977941176470588
ellipsoid_cond1e6,10,0.0,pop4x,10,98263.39023068761,280355.6412496267,201950.4320900912,0.2,0.8,0.009765625,2.853103689903748,0.046875
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,10,98263.40537172413,64484.91213135019,-7356.3480537599025,0.5,0.5,0.76953125,0.6562454444501279,0.86572265625
ellipsoid_cond1e6,10,0.1,phasewall_plus_lr_tuned,10,98263.40537172413,39441.09370264337,-51177.18617216811,0.8,0.2,0.01953125,0.40138130317629694,0.08272058823529412
ellipsoid_cond1e6,10,0.1,phasewall_tuned,10,98263.40537172413,130988.80527517216,43192.338677634194,0.2,0.8,0.10546875,1.3330375105528853,0.2977941176470588
ellipsoid_cond1e6,10,0.1,pop4x,10,98263.40537172413,280355.6031869664,201950.36681873546,0.2,0.8,0.009765625,2.8531028629264292,0.046875
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,10,98263.26661893007,64484.84784357311,-7356.305512403023,0.5,0.5,0.76953125,0.6562457168623207,0.86572265625
ellipsoid_cond1e6,10,0.2,phasewall_plus_lr_tuned,10,98263.26661893007,39441.40167079808,-51177.3565549266,0.8,0.2,0.01953125,0.40138500406010147,0.08272058823529412
ellipsoid_cond1e6,10,0.2,phasewall_tuned,10,98263.26661893007,130988.9254126988,43192.22447744746,0.2,0.8,0.10546875,1.333040615479236,0.2977941176470588
ellipsoid_cond1e6,10,0.2,pop4x,10,98263.26661893007,280355.6435844315,201950.4479622791,0.2,0.8,0.009765625,2.853107302769253,0.046875
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,10,905846.7914329738,522281.64057497925,-311707.5237527233,0.7,0.3,0.130859375,0.5765673020144758,0.3364955357142857
